id;libelle;quantite;prix_unitaire_ttc;date_sortie;bordereau;bordereau_content_type;observation;deleted
1;Fantastic c;78509;93873;2021-07-22;../fake-data/blob/hipster.png;image/png;bifurcated state;true
2;Computer Bedfordshire;69515;84900;2021-07-22;../fake-data/blob/hipster.png;image/png;interface Fantastic optimize;true
3;multi-byte;66906;65410;2021-07-22;../fake-data/blob/hipster.png;image/png;salmonXXXX;false
4;teal;63912;23208;2021-07-21;../fake-data/blob/hipster.png;image/png;Rustic Credit Monsieur-le-Prince;true
5;Computer;57897;82289;2021-07-22;../fake-data/blob/hipster.png;image/png;multimedia;true
6;monitor Plastic;24136;61697;2021-07-22;../fake-data/blob/hipster.png;image/png;compelling innovate Lorraine;true
7;withdrawal;60318;78302;2021-07-22;../fake-data/blob/hipster.png;image/png;embraceXXX;true
8;distributed;79307;99274;2021-07-22;../fake-data/blob/hipster.png;image/png;architecture sexy Pierre;true
9;cross-platform a;17569;13874;2021-07-22;../fake-data/blob/hipster.png;image/png;Down-sized;true
10;a Saint-Denis;75257;76622;2021-07-21;../fake-data/blob/hipster.png;image/png;multi-byte;false
