id;libelle;quantite;prix_unitaire_ttc;serie;model;caract_supplementaire;date_entree;bordereau;bordereau_content_type;observation;en_stock;en_commande;deleted
1;Franche-Comté Haïti invoice;62453;50662;d'Argenteuil;Toys Shirt Shoes;Baby c Cotton;2021-07-21;../fake-data/blob/hipster.png;image/png;ShoesXXXXX;true;false;true
2;Congolese Designer;54514;26703;a SQL;Computer;Account Centralized array;2021-07-22;../fake-data/blob/hipster.png;image/png;Analyste programming e-enable;true;true;false
3;Architecte attitude;57727;32551;primary;Handmade;Music Savings Shoes;2021-07-22;../fake-data/blob/hipster.png;image/png;Plastic bypass;true;true;true
4;Tools strategic;92359;45686;Object-based a;Chair;Soft visualize;2021-07-22;../fake-data/blob/hipster.png;image/png;Colombie visionary innovative;false;true;true
5;secondary;7640;84479;a invoice generate;Generic Gorgeous cyan;supply-chains;2021-07-22;../fake-data/blob/hipster.png;image/png;Buckinghamshire Practical;false;false;false
6;Handcrafted Concrete;82958;8742;compressing bus;synthesize next-generation standardization;extranet;2021-07-22;../fake-data/blob/hipster.png;image/png;extensible Account;true;true;true
7;SQL c;14116;66933;Savings;plum;COM action-items;2021-07-22;../fake-data/blob/hipster.png;image/png;Île-de-France;false;false;false
8;Buckinghamshire Ball transmitter;19960;52022;Intelligent product;circuit up;Centre;2021-07-22;../fake-data/blob/hipster.png;image/png;Rustic c customer;true;true;false
9;Tanzanie EXE integrate;63115;5931;Cambridgeshire;invoice;index GB methodology;2021-07-21;../fake-data/blob/hipster.png;image/png;bluetooth Technicien Intelligent;true;false;true
10;Granite;5994;40868;de Limousin best-of-breed;b mission-critical Wooden;bluetooth withdrawal Superviseur;2021-07-21;../fake-data/blob/hipster.png;image/png;aXXXXXXXXX;true;true;true
